Soil_pH,Crop,Soil_Type,Rainfall_mm,Compost_kg_per_acre,N_kg,P_kg,K_kg
6.4,Rice,Clay,58,4000,36,18,18
6.1,Rice,Clay,84,4000,40,20,20
6.4,Rice,Clay,141,4000,44,22,22
5.5,Rice,Loam,46,4000,36,18,18
6.2,Rice,Loam,109,4000,40,20,20
5.9,Rice,Loam,185,4000,44,22,22
6.0,Rice,Sandy,36,4400,36,18,18
6.2,Rice,Sandy,83,4400,40,20,20
5.5,Rice,Sandy,167,4400,44,22,22
6.4,Rice,Black,34,4000,36,18,18
6.1,Rice,Black,75,4000,40,20,20
6.1,Rice,Black,189,4000,44,22,22
6.7,Wheat,Clay,49,4000,43,21,14
6.4,Wheat,Clay,104,4000,48,24,16
7.3,Wheat,Clay,171,4000,52,26,17
6.1,Wheat,Loam,32,4000,43,21,14
7.0,Wheat,Loam,65,4000,48,24,16
7.2,Wheat,Loam,145,4000,52,26,17
6.4,Wheat,Sandy,37,4400,43,21,14
6.4,Wheat,Sandy,76,4400,48,24,16
6.6,Wheat,Sandy,138,4400,52,26,17
6.3,Wheat,Black,49,4000,43,21,14
6.2,Wheat,Black,84,4000,48,24,16
6.4,Wheat,Black,121,4000,52,26,17
5.9,Millets,Clay,31,3000,14,7,7
5.7,Millets,Clay,101,3000,16,8,8
6.1,Millets,Clay,182,3000,17,8,8
5.6,Millets,Loam,51,3000,14,7,7
6.5,Millets,Loam,118,3000,16,8,8
6.3,Millets,Loam,163,3000,17,8,8
6.3,Millets,Sandy,50,3300,14,7,7
6.0,Millets,Sandy,111,3300,16,8,8
6.4,Millets,Sandy,182,3300,17,8,8
6.2,Millets,Black,50,3000,14,7,7
5.7,Millets,Black,93,3000,16,8,8
6.2,Millets,Black,169,3000,17,8,8
6.3,Cotton,Clay,41,4000,27,10,10
6.9,Cotton,Clay,91,4000,30,12,12
6.0,Cotton,Clay,182,4000,33,13,13
7.1,Cotton,Loam,45,4000,27,10,10
7.4,Cotton,Loam,104,4000,30,12,12
6.2,Cotton,Loam,128,4000,33,13,13
7.2,Cotton,Sandy,36,4400,27,10,10
6.4,Cotton,Sandy,84,4400,30,12,12
7.1,Cotton,Sandy,191,4400,33,13,13
6.1,Cotton,Black,32,4000,27,10,10
6.8,Cotton,Black,93,4000,30,12,12
7.3,Cotton,Black,185,4000,33,13,13
6.7,Sugarcane,Clay,32,4500,54,18,18
6.4,Sugarcane,Clay,80,4500,60,20,20
7.4,Sugarcane,Clay,195,4500,66,22,22
6.2,Sugarcane,Loam,55,4500,54,18,18
6.5,Sugarcane,Loam,116,4500,60,20,20
6.8,Sugarcane,Loam,189,4500,66,22,22
6.9,Sugarcane,Sandy,31,4950,54,18,18
6.5,Sugarcane,Sandy,67,4950,60,20,20
6.7,Sugarcane,Sandy,162,4950,66,22,22
6.4,Sugarcane,Black,57,4500,54,18,18
7.1,Sugarcane,Black,61,4500,60,20,20
6.2,Sugarcane,Black,178,4500,66,22,22
